timestamp_s,channel,raw_adc,voltage_uv
0.0000,1,642,2.989
0.1000,1,-318,-1.482
0.2000,1,412,1.918
0.3000,1,346,1.611
0.4000,1,-1160,-5.397
0.5000,1,30,0.140
0.6000,1,205,0.954
0.7000,1,156,0.729
0.8000,1,-812,-3.776
0.9000,1,215,1.000
1.0000,1,433,2.016
1.1000,1,441,2.054
1.2000,1,-332,-1.546
1.3000,1,-72,-0.337
1.4000,1,-936,-4.356
1.5000,1,-166,-0.775
1.6000,1,-208,-0.970
1.7000,1,41,0.193
1.8000,1,430,2.000
1.9000,1,121,0.564
2.0000,1,-782,-3.638
2.1000,1,1224,5.692
2.2000,1,177,0.826
2.3000,1,-277,-1.290
2.4000,1,-33,-0.155
2.5000,1,-718,-3.338
2.6000,1,-403,-1.877
2.7000,1,-276,-1.287
2.8000,1,-451,-2.101
2.9000,1,386,1.796
3.0000,1,-341,-1.590
3.1000,1,-292,-1.361
3.2000,1,-304,-1.414
3.3000,1,225,1.048
3.4000,1,-639,-2.972
3.5000,1,125,0.581
3.6000,1,9624,44.747
3.7000,1,-561,-2.608
3.8000,1,-523,-2.433
3.9000,1,-20,-0.094
4.0000,1,301,1.403
4.1000,1,278,1.297
4.2000,1,-12,-0.059
4.3000,1,-101,-0.472
4.4000,1,-361,-1.680
4.5000,1,-73,-0.342
4.6000,1,-226,-1.054
4.7000,1,253,1.180
4.8000,1,-18,-0.085
4.9000,1,448,2.087
5.0000,1,-156,-0.726
5.1000,1,4,0.021
5.2000,1,-15,-0.070
5.3000,1,-297,-1.384
5.4000,1,-166,-0.774
5.5000,1,360,1.677
5.6000,1,-467,-2.173
5.7000,1,106,0.495
5.8000,1,143,0.665
5.9000,1,713,3.316
6.0000,1,496,2.309
6.1000,1,-58,-0.274
6.2000,1,157,0.732
6.3000,1,-690,-3.209
6.4000,1,259,1.206
6.5000,1,-515,-2.395
6.6000,1,-316,-1.472
6.7000,1,-323,-1.504
6.8000,1,-472,-2.196
6.9000,1,9,0.044
7.0000,1,-201,-0.935
7.1000,1,198,0.925
7.2000,1,103,0.479
7.3000,1,-130,-0.605
7.4000,1,110,0.513
7.5000,1,-186,-0.866
7.6000,1,-514,-2.392
7.7000,1,-590,-2.744
7.8000,1,-555,-2.582
7.9000,1,-128,-0.597
8.0000,1,376,1.751
8.1000,1,450,2.095
8.2000,1,55,0.260
8.3000,1,-149,-0.693
8.4000,1,205,0.957
8.5000,1,-113,-0.528
8.6000,1,840,3.908
8.7000,1,61,0.286
8.8000,1,155,0.722
8.9000,1,61,0.285
9.0000,1,662,3.082
9.1000,1,453,2.109
9.2000,1,751,3.493
9.3000,1,307,1.429
9.4000,1,-511,-2.378
9.5000,1,-216,-1.008
9.6000,1,130,0.608
9.7000,1,165,0.769
9.8000,1,126,0.590
9.9000,1,257,1.195
10.0000,1,-174,-0.809
10.1000,1,1228,5.710
10.2000,1,494,2.300
10.3000,1,54,0.253
10.4000,1,413,1.922
10.5000,1,370,1.723
10.6000,1,-274,-1.277
10.7000,1,159,0.741
10.8000,1,667,3.103
10.9000,1,-719,-3.345
11.0000,1,509,2.370
11.1000,1,-239,-1.114
11.2000,1,-118,-0.553
11.3000,1,272,1.265
11.4000,1,-471,-2.190
11.5000,1,-417,-1.941
11.6000,1,-1027,-4.778
11.7000,1,-389,-1.810
11.8000,1,-250,-1.163
11.9000,1,557,2.592
12.0000,1,486,2.263
12.1000,1,463,2.154
12.2000,1,139,0.648
12.3000,1,-123,-0.572
12.4000,1,24,0.116
12.5000,1,-11,-0.052
12.6000,1,564,2.626
12.7000,1,563,2.619
12.8000,1,262,1.222
12.9000,1,-370,-1.722
13.0000,1,-357,-1.663
13.1000,1,-96,-0.451
13.2000,1,-217,-1.013
13.3000,1,-179,-0.834
13.4000,1,519,2.414
13.5000,1,630,2.929
13.6000,1,705,3.281
13.7000,1,331,1.541
13.8000,1,-627,-2.917
13.9000,1,-303,-1.412
14.0000,1,164,0.766
14.1000,1,-591,-2.748
14.2000,1,864,4.019
14.3000,1,633,2.945
14.4000,1,-107,-0.500
14.5000,1,71,0.331
14.6000,1,300,1.395
14.7000,1,-228,-1.062
14.8000,1,-606,-2.818
14.9000,1,-305,-1.420
15.0000,1,-885,-4.118
15.1000,1,108,0.503
15.2000,1,-130,-0.607
15.3000,1,900,4.186
15.4000,1,189,0.881
15.5000,1,127,0.591
15.6000,1,-781,-3.633
15.7000,1,-582,-2.707
15.8000,1,146,0.683
15.9000,1,-173,-0.805
16.0000,1,-206,-0.959
16.1000,1,495,2.304
16.2000,1,264,1.228
16.3000,1,221,1.030
16.4000,1,151,0.705
16.5000,1,799,3.719
16.6000,1,551,2.566
16.7000,1,-382,-1.777
16.8000,1,58,0.272
16.9000,1,-1248,-5.805
17.0000,1,209,0.974
17.1000,1,308,1.436
17.2000,1,1133,5.269
17.3000,1,1061,4.934
17.4000,1,116,0.543
17.5000,1,-356,-1.655
17.6000,1,457,2.128
17.7000,1,-295,-1.372
17.8000,1,66,0.307
17.9000,1,-498,-2.319
18.0000,1,963,4.478
18.1000,1,121,0.563
18.2000,1,-195,-0.910
18.3000,1,-8,-0.041
18.4000,1,108,0.504
18.5000,1,-161,-0.749
18.6000,1,521,2.423
18.7000,1,-196,-0.912
18.8000,1,-401,-1.867
18.9000,1,-56,-0.262
19.0000,1,-23147,-107.618
19.1000,1,2,0.010
19.2000,1,-513,-2.385
19.3000,1,117,0.547
19.4000,1,62,0.289
19.5000,1,201,0.935
19.6000,1,-749,-3.486
19.7000,1,375,1.748
19.8000,1,4228,19.661
19.9000,1,749,3.486
