timestamp_s,channel,raw_adc,voltage_uv
0.0899,1,4236,19.694
0.2060,1,656,3.050
0.3309,1,568,2.641
0.4464,1,562,2.613
0.5736,1,595,2.766
0.6916,1,564,2.622
0.8053,1,532,2.473
0.9312,1,562,2.613
1.0471,1,566,2.631
1.1744,1,510,2.371
1.2877,1,501,2.329
1.4049,1,580,2.697
1.5311,1,559,2.599
1.6472,1,588,2.734
1.7632,1,601,2.794
1.8892,1,552,2.566
2.0060,1,526,2.445
2.1240,1,527,2.450
2.2516,1,517,2.404
2.3697,1,521,2.422
2.4931,1,566,2.631
2.6088,1,569,2.645
2.7263,1,624,2.901
2.8495,1,684,3.180
2.9637,1,567,2.636
3.0931,1,470,2.185
3.2090,1,525,2.441
3.3271,1,525,2.441
3.4430,1,502,2.334
3.5689,1,537,2.497
3.6851,1,540,2.511
3.8140,1,551,2.562
3.9300,1,549,2.552
4.0447,1,567,2.636
4.1684,1,558,2.594
4.2864,1,554,2.576
4.4119,1,530,2.464
4.5268,1,586,2.724
4.6505,1,553,2.571
4.7679,1,521,2.422
4.8936,1,523,2.432
5.0076,1,562,2.613
5.1257,1,548,2.548
5.2428,1,535,2.487
5.3713,1,535,2.487
5.4871,1,531,2.469
5.6039,1,537,2.497
5.7334,1,536,2.492
5.8476,1,538,2.501
5.9636,1,517,2.404
6.0924,1,565,2.627
6.2090,1,539,2.506
6.3262,1,532,2.473
6.4442,1,527,2.450
6.5704,1,542,2.520
6.6864,1,549,2.552
6.8139,1,537,2.497
6.9306,1,549,2.552
7.0468,1,551,2.562
7.1718,1,535,2.487
7.2873,1,566,2.631
7.4128,1,571,2.655
7.5254,1,562,2.613
7.6429,1,545,2.534
7.7683,1,538,2.501
7.8852,1,512,2.380
8.0106,1,436,2.027
8.1261,1,-160,-0.744
8.2435,1,-389,-1.809
8.3723,1,1181,5.491
8.4854,1,728,3.385
8.6112,1,590,2.743
8.7236,1,-182,-0.846
8.8534,1,469,2.180
8.9714,1,91,0.423
9.0863,1,466,2.167
9.2017,1,322,1.497
9.3305,1,-1342,-6.239
9.4468,1,-4143,-19.261
9.5735,1,-47029,-218.645
9.6883,1,2367,11.005
9.8030,1,17685,82.220
9.9292,1,1110,5.161
10.0520,1,5026,23.367
10.1683,1,6491,30.178
